hour,weather,traffic_density,historical_crash_proximity,risk_score
6,0,0.088,0.127,11.4
19,0,0.424,0.413,26.9
14,0,0.329,0.262,19.8
10,0,0.815,0.549,48.4
7,0,0.11,0.78,32.5
20,0,0.683,0.938,55.9
6,0,0.407,0.284,28.0
18,0,0.588,0.743,44.9
22,1,0.206,0.886,67.7
10,0,0.61,0.125,30.3
10,1,0.674,0.586,66.6
23,0,0.07,0.612,32.6
20,0,0.824,0.272,41.6
3,1,0.861,0.023,79.2
7,0,0.064,0.257,8.6
23,1,0.603,0.585,73.1
2,1,0.594,0.196,71.9
21,0,0.012,0.287,10.4
20,0,0.342,0.708,32.5
1,0,0.969,0.398,63.7
23,0,0.555,0.065,42.0
11,0,0.933,0.399,52.1
5,0,0.676,1.0,62.9
1,0,0.028,0.261,23.8
20,0,0.078,0.265,14.6
0,1,0.722,0.17,75.5
11,1,0.555,0.272,66.2
21,0,0.127,0.575,23.1
11,1,0.614,0.965,71.3
16,0,0.81,0.608,52.7
9,0,0.753,0.41,42.9
15,0,0.246,0.39,23.7
14,0,0.258,0.024,16.9
14,0,0.968,0.003,42.0
18,1,0.887,0.797,80.3
11,1,0.318,0.49,45.6
22,0,0.824,0.033,48.3
19,1,0.162,0.286,43.9
2,0,0.197,0.357,30.1
4,0,0.181,0.783,36.5
18,1,0.088,0.434,43.3
6,0,0.855,0.789,52.1
20,0,0.579,0.634,37.7
8,0,0.259,0.033,17.6
6,0,0.849,0.969,60.1
17,0,0.803,0.181,42.3
3,0,0.101,0.276,23.6
13,0,0.644,0.809,50.2
17,0,0.722,0.19,34.3
8,0,0.716,0.401,40.8
20,0,0.723,0.865,53.5
1,1,0.169,0.637,62.1
19,0,0.315,0.302,21.3
14,0,0.844,0.644,58.1
6,0,0.898,0.813,56.8
11,0,0.279,0.404,24.5
7,0,0.023,0.572,20.3
14,0,0.86,0.988,63.8
2,1,0.377,0.965,74.6
13,0,0.329,0.509,31.9
16,0,0.347,0.096,19.4
3,0,0.416,0.701,50.6
17,0,0.378,0.269,25.6
7,0,0.566,0.669,42.0
3,0,0.079,0.352,24.2
1,1,0.972,0.719,93.9
5,0,0.936,0.367,57.6
21,1,0.934,0.941,86.0
9,0,0.879,0.137,43.0
3,0,0.66,0.068,39.6
21,0,0.221,0.781,27.8
17,0,0.049,0.401,8.7
11,1,0.099,0.466,39.6
1,0,0.324,0.934,46.6
9,0,0.504,0.59,39.8
3,1,0.993,0.66,91.9
13,1,0.435,0.019,47.7
15,1,0.525,0.671,67.9
14,1,0.695,0.388,68.1
7,0,0.181,0.46,23.9
13,1,0.933,0.808,83.8
22,0,0.529,0.524,45.2
7,1,0.276,0.987,62.0
20,1,0.935,0.797,87.2
15,0,0.625,0.729,50.0
12,1,0.484,0.589,68.3
17,0,0.58,0.412,41.0
14,0,0.748,0.053,36.1
20,0,0.155,0.018,7.9
23,1,0.865,0.047,77.3
12,0,0.96,0.959,65.8
8,0,0.567,0.323,26.5
14,0,0.682,0.701,41.9
12,1,0.86,0.594,74.9
0,0,0.375,0.572,39.1
6,1,0.993,0.579,76.5
8,1,0.681,0.302,64.4
23,0,0.424,0.887,53.4
0,0,0.677,0.919,59.9
11,1,0.522,0.645,58.8
7,1,0.112,0.864,52.4
23,1,0.796,0.06,69.7
10,0,0.564,0.1,26.6
18,1,0.796,0.559,75.9
16,0,0.155,0.847,31.7
7,0,0.538,0.315,32.0
2,1,0.767,0.548,83.8
2,0,0.988,0.01,51.5
0,1,0.884,0.987,96.7
4,0,0.864,0.767,63.8
9,1,0.247,0.361,43.2
6,0,0.838,0.983,55.5
8,0,0.169,0.092,14.8
6,1,0.198,0.464,42.8
8,0,0.11,0.059,9.7
7,0,0.858,0.335,49.2
11,1,0.108,0.219,37.2
1,0,0.138,0.317,22.2
0,1,0.246,0.947,68.0
15,0,0.573,0.427,38.5
22,0,0.88,0.325,52.8
22,1,0.418,0.641,73.1
23,0,0.546,0.683,52.8
4,0,0.166,0.984,42.4
2,0,0.266,0.546,38.3
11,1,0.134,0.753,50.8
7,0,0.41,0.382,30.0
21,0,0.59,0.171,32.2
2,0,0.284,0.43,37.6
0,0,0.846,0.419,61.1
2,0,0.981,0.421,60.2
4,0,0.12,0.695,31.6
14,0,0.018,0.406,12.7
13,0,0.79,0.954,53.8
2,0,0.191,0.983,45.7
0,0,0.353,0.523,35.1
4,0,0.394,0.558,43.6
22,1,0.917,0.408,89.0
13,0,0.659,0.356,36.7
6,0,0.041,0.985,30.7
8,0,0.015,0.041,9.9
14,0,0.2,0.41,20.1
14,1,0.318,0.151,48.2
9,1,0.485,0.726,61.4
12,0,0.838,0.194,39.1
18,0,0.315,0.885,33.9
6,0,0.377,0.374,31.6
16,0,0.329,0.917,35.1
19,1,0.009,0.987,50.2
3,0,0.955,0.771,65.6
4,0,0.139,0.623,35.6
22,0,0.288,0.15,32.0
6,1,0.129,0.933,51.7
12,0,0.491,0.777,33.2
14,1,0.932,0.288,72.0
10,0,0.101,0.469,19.7
3,0,0.441,0.068,33.9
12,1,0.022,0.659,44.3
6,0,0.771,0.125,39.4
18,0,0.641,0.652,42.1
21,0,0.7,0.672,42.7
1,0,0.472,0.325,42.6
9,0,0.908,0.949,57.6
12,1,0.41,0.779,58.4
20,0,0.514,0.497,37.0
5,1,0.695,0.919,82.9
11,0,0.521,0.856,40.5
11,0,0.189,0.692,31.2
19,0,0.317,0.153,25.5
10,1,0.092,0.497,47.2
22,1,0.433,0.864,76.9
6,1,0.609,0.609,70.0
0,0,0.119,0.546,36.5
0,0,0.631,0.955,62.6
19,0,0.893,0.017,41.8
12,1,0.338,0.012,46.4
8,0,0.222,0.893,30.3
2,0,0.893,0.039,51.9
6,0,0.692,0.333,39.9
5,0,0.105,0.924,37.3
7,0,0.408,0.691,34.2
8,1,0.674,0.648,73.8
4,0,0.574,0.657,48.3
0,1,0.619,0.318,71.5
18,1,0.567,0.531,59.4
9,0,0.798,0.63,43.5
11,0,0.32,0.306,27.5
23,0,0.708,0.795,63.1
14,1,0.991,0.322,74.6
21,0,0.39,0.071,22.2
23,0,0.791,0.201,49.8
8,0,0.246,0.408,22.1
19,0,0.282,0.908,33.0
16,0,0.935,0.416,52.1
16,0,0.026,0.09,6.7
19,1,0.217,0.196,43.9
11,1,0.483,0.544,65.2
6,0,0.402,0.178,25.8
1,0,0.629,0.064,41.8
2,1,0.193,0.715,60.3
16,0,0.071,0.784,23.5
4,1,0.369,0.851,66.8
16,0,0.524,0.844,47.5
23,0,0.562,0.379,42.2
16,0,0.601,0.734,38.0
16,0,0.549,0.584,38.3
1,1,0.246,0.023,51.4
1,0,0.765,0.402,57.6
21,0,0.088,0.053,10.3
22,0,0.198,0.083,27.4
4,1,0.739,0.056,73.5
0,0,0.28,0.961,47.9
0,1,0.493,0.844,73.2
18,0,0.327,0.439,28.4
1,0,0.507,0.248,36.1
20,1,0.347,0.072,51.3
11,0,0.994,0.431,55.5
5,0,0.357,0.6,39.4
22,0,0.627,0.797,57.2
3,0,0.888,0.052,48.5
22,0,0.638,0.418,44.2
10,0,0.566,0.977,49.8
23,0,0.569,0.121,37.2
16,0,0.496,0.4,32.3
5,0,0.808,0.275,53.4
23,0,0.05,0.134,19.2
4,1,0.885,0.839,89.1
19,1,0.586,0.697,67.6
1,0,0.849,0.412,57.6
5,0,0.01,0.369,25.4
21,1,0.869,0.828,88.7
10,0,0.12,0.091,5.7
15,0,0.721,0.147,34.4
15,1,0.417,0.907,65.5
0,0,0.681,0.817,61.6
8,0,0.628,0.775,46.7
5,1,0.163,0.624,62.4
15,0,0.515,0.292,27.0
2,0,0.277,0.935,43.8
19,0,0.56,0.492,41.6
3,0,0.738,0.281,47.6
18,1,0.081,0.366,31.9
2,0,0.516,0.017,33.5
18,0,0.618,0.255,36.1
19,1,0.295,0.188,45.4
6,0,0.953,0.136,42.0
19,0,0.52,0.032,24.3
8,0,0.183,0.227,12.8
0,0,0.108,0.104,17.7
7,0,0.542,0.045,24.9
6,1,0.375,0.137,48.1
17,1,0.193,0.202,34.6
7,0,0.031,0.416,18.6
0,0,0.567,0.584,49.0
10,0,0.599,0.322,32.1
17,0,0.142,0.141,10.6
22,0,0.602,0.94,56.0
9,1,0.952,0.515,78.4
2,0,0.978,0.742,69.4
6,0,0.888,0.694,53.8
15,0,0.807,0.285,40.7
15,0,0.209,0.56,24.5
19,0,0.156,0.602,17.1
16,0,0.445,0.352,26.2
1,0,0.62,0.671,51.2
0,0,0.851,0.791,60.8
15,0,0.232,0.364,20.9
11,0,0.48,0.015,20.5
4,0,0.647,0.349,53.0
4,1,0.446,0.117,55.8
22,0,0.454,0.156,40.8
8,0,0.225,0.366,15.3
8,0,0.987,0.208,54.6
2,1,0.475,0.935,79.5
18,0,0.533,0.653,41.7
15,0,0.219,0.518,20.0
15,0,0.514,0.01,24.8
2,0,0.255,0.104,26.5
19,0,0.202,0.788,28.6
23,0,0.276,0.39,37.6
21,1,0.003,0.045,33.1
23,0,0.57,0.826,53.8
0,0,0.387,0.303,39.5
23,0,0.899,0.386,62.2
19,0,0.041,0.974,24.4
10,0,0.043,0.016,5.2
16,1,0.886,0.721,86.3
7,1,0.127,0.949,53.3
3,0,0.002,0.064,14.4
5,0,0.179,0.866,39.0
7,0,0.824,0.416,49.5
19,0,0.803,0.878,56.8
2,0,0.34,0.308,34.4
15,1,0.668,0.983,78.2
2,1,0.507,0.647,74.0
17,0,0.905,0.627,53.3
13,0,0.056,0.806,22.5
17,0,0.813,0.437,46.7
1,0,0.171,0.259,25.7
21,0,0.392,0.263,26.1
2,0,0.192,0.331,29.1
15,0,0.703,0.617,41.1
8,0,0.678,0.838,47.3
3,0,0.548,0.5,46.1
0,1,0.698,0.403,81.6
3,0,0.64,0.794,56.0
0,0,0.776,0.29,52.7
13,0,0.239,0.689,34.8
20,0,0.429,0.106,19.5
15,0,0.152,0.113,8.7
19,0,0.43,0.644,32.7
23,0,0.702,0.083,43.7
7,0,0.691,0.155,35.1
6,1,0.709,0.624,69.3
2,0,0.309,0.438,32.4
16,0,0.662,0.561,45.6
0,0,0.367,0.977,47.9
15,0,0.944,0.632,59.0
11,1,0.343,0.591,52.5
18,0,0.603,0.38,42.6
21,0,0.75,0.631,42.6
22,0,0.906,0.013,51.5
21,0,0.438,0.557,30.7
13,1,0.36,0.069,45.9
5,0,0.43,0.22,33.7
5,0,0.324,0.563,32.8
12,1,0.654,0.668,67.2
18,1,0.933,0.385,79.8
21,0,0.126,0.419,15.4
7,0,0.561,0.498,38.9
1,0,0.898,0.759,66.1
20,0,0.1,0.018,8.0
0,1,0.494,0.447,74.8
14,0,0.865,0.014,39.0
0,0,0.9,0.319,57.9
4,1,0.514,0.52,71.2
15,0,0.025,0.08,12.3
18,0,0.106,0.485,14.4
3,1,0.587,0.925,88.7
2,1,0.124,0.685,63.2
