traffic_density,weather_severity,time_of_day,road_condition_index,historical_incidents,risk_score
0.375,0.5,12,0.155,3,0.4795
0.951,0.747,5,0.515,2,0.6273
0.732,0.563,0,0.261,4,0.6402
0.599,0.083,5,0.252,0,0.2674
0.156,0.186,12,0.83,3,0.2832
0.156,0.219,12,0.381,0,0.2687
0.058,0.258,12,0.451,4,0.274
0.866,0.565,19,0.843,2,0.5427
0.601,0.504,3,0.088,3,0.5371
0.708,0.203,4,0.595,2,0.3274
0.021,0.068,12,0.578,0,0.2468
0.97,0.171,8,0.425,3,0.5279
0.832,0.984,16,0.83,0,0.6988
0.212,0.469,2,0.943,0,0.1773
0.182,0.867,19,0.465,2,0.5119
0.183,0.849,17,0.456,4,0.6248
0.304,0.512,14,0.502,0,0.3458
0.525,0.707,22,0.723,0,0.509
0.432,0.193,0,0.668,1,0.2815
0.291,0.688,8,0.223,2,0.496
0.612,0.272,5,0.064,0,0.4068
0.139,0.832,17,0.949,1,0.3661
0.292,0.084,0,0.261,2,0.3094
0.366,0.773,21,0.639,3,0.6487
0.456,0.1,6,0.828,4,0.4038
0.785,0.881,9,0.3,2,0.7126
0.2,0.304,5,0.635,0,0.2599
0.514,0.654,6,0.108,1,0.6149
0.592,0.488,5,0.97,1,0.3992
0.046,0.366,7,0.058,3,0.4233
0.608,0.645,1,0.438,1,0.5409
0.171,0.948,8,0.537,0,0.5197
0.065,0.041,8,0.79,2,0.0955
0.949,0.919,6,0.121,3,0.7317
0.966,0.609,8,0.441,4,0.7355
0.808,0.807,16,0.3,4,0.7741
0.305,0.384,2,0.312,0,0.3356
0.098,0.472,15,0.779,3,0.2593
0.684,0.869,15,0.005,3,0.8482
0.44,0.415,1,0.749,0,0.2986
0.122,0.535,10,0.81,3,0.2422
0.495,0.02,15,0.901,1,0.3521
0.034,0.159,14,0.627,1,0.1928
0.909,0.642,0,0.333,0,0.624
0.259,0.717,20,0.427,0,0.6439
0.663,0.583,16,0.97,1,0.4669
0.312,0.143,2,0.881,2,0.2118
0.52,0.445,21,0.464,0,0.4464
0.547,0.355,21,0.943,1,0.4651
